begin sampling
initial memory consumption:  128440
67011.56527 985
66990.1647221 985
70255.1918364 985
141072.526985 985
69990.0453424 985
77531.7897428 1057
7617.0080552 1952
7623.24113541 1952
7632.41714227 1952
7617.13433472 1952
45605649.5553 1952
7637.51109503 1952
7647.2034831 1952
7664.24701904 1952
32750.9337286 1952
7632.22549288 1952
24042979.2005 1952
39741.3628164 1952
32807.1424825 1952
7654.97834758 1952
7631.68431735 1952
7650.42178515 1952
7614.66895672 1952
7644.50114668 1952
7635.48003009 1952
232118065.068 1952
32760.8139317 1952
7661.13972185 1952
32779.6080016 1952
7623.70393463 1952
7641.91383361 1952
7636.8569616 1952
7660.12703068 1952
7643.41794965 1952
7648.07363455 1952
7650.24749801 1952
7662.50130134 1952
7613.71684257 1952
7662.08137642 1952
7652.20774137 1952
7637.44114538 1952
3916886.99224 1952
7639.24963639 1952
7646.61787174 1952
7644.86595674 1952
7644.18200166 1952
7635.25157835 1952
7636.89340819 1952
7631.28533852 1952
7651.87812091 1952
7637.95714934 1952
7679.62822075 1952
7619.42934408 1952
7638.38289457 1952
7633.11671967 1952
7614.40332449 1952
7617.11602195 1952
7640.70603501 1952
7622.2460194 1952
7642.84973701 1952
7614.80922192 1952
7654.70273792 1952
7635.28327812 1952
7652.91662106 1952
7656.9327546 1952
7652.03203634 1952
7633.5928786 1952
7650.30104184 1952
7654.56585308 1952
7620.61473565 1952
32771.37293 1952
7656.78948006 1952
7625.49712563 1952
7647.97610018 1952
7644.55036138 1952
7627.18387233 1952
7624.70112397 1952
7678.79496254 1952
7623.22346785 1952
7656.25805902 1952
7654.36418353 1952
7651.24414206 1952
12009394.5617 1952
7631.48009023 1952
452080417.609 1952
8830237.88191 1952
7636.16494367 1952
7619.55159237 1952
7629.36885306 1952
7667.31787507 1952
7660.94555486 1952
7657.11854974 1952
55205815.6791 1952
32808.328951 1952
7651.32078428 1952
7622.69012326 1952
7645.1357439 1952
7603.11174696 1952
7634.40308725 1952
7644.19439247 1952
226740099.784 985
7621.62674597 1952
389580944.788 1952
7633.55512692 1952
1783050.08621 1952
7639.48043531 1952
7648.78795599 1952
7636.85750234 1952
1701855.40949 1952
7669.64995143 1952
305658.018048 1952
7647.06395594 1952
7630.37656453 1952
7669.21661627 1952
7682.99124118 1952
7640.0864843 1952
7620.27103109 1952
7671.17591392 1952
7624.64349364 1952
7633.67621054 1952
7657.22916246 1952
7687.48994728 1952
7666.1199349 1952
7620.89569297 1952
7654.48706732 1952
7632.4010456 1952
12263833.405 1952
7660.99394093 1952
7614.23668708 1952
7669.68996241 1952
96882.9158072 1952
3961973.6517 1952
7684.9462897 1952
2050299.92466 1952
7642.7674067 1952
7689.94119149 1952
7716.62260367 1952
7637.83677092 1952
7646.38148684 1952
7648.05785029 1952
7636.47195073 1952
7643.28640472 1952
7656.17510571 1952
7636.26244956 1952
902569.320083 1952
71435640.479 1952
714990737.297 1952
7629.21869304 1952
7625.44431404 1952
159743.239394 1952
33925958.3046 985
409348.106247 985
665726904.476 1027
27862996.5331 1952
7646.16614542 1952
269062.919066 1952
3491112.26636 1952
7627.51270991 1952
7626.84315246 1952
7654.22691712 1952
1134876.37245 1952
7652.40184534 1952
7646.70392883 1952
14993692.7418 1952
7648.62994991 1952
7703.48722557 1952
7726.2539782 1952
7622.4455033 1952
7645.6778889 1952
7690.99750912 1952
7654.70253514 1952
9073764.40584 1952
7653.81110046 1952
7639.52751439 1952
7618.89718077 1952
42349.209957 1952
