begin sampling
initial memory consumption:  129000
129006.638507 1678
173206.517356 1678
243010.957977 2114
7965.35872124 2114
7940.62067756 2114
7950.57854307 2114
7941.12137316 2114
7971.36345518 2114
7971.57678744 2114
7967.76239379 2114
7956.48952728 2114
7975.51946704 2114
7976.74952009 2114
7962.68267276 2114
7948.08893757 2114
7958.26222935 2114
7950.44295471 2114
7952.32639602 2114
7959.26949127 2114
7968.2750119 2114
7959.68523252 2114
7972.42164132 2114
7961.24613435 2114
7943.65923012 2114
7962.52560412 2114
7945.12061437 2114
7945.90437076 2114
7944.21778684 2114
7949.41457045 2114
7958.93023229 2114
7970.16578899 2114
7941.87676522 2114
7967.80387068 2114
7982.09100376 2114
7976.67909457 2114
7973.48997825 2114
7957.08616346 2114
7951.27074576 2114
7945.73432021 2114
7958.01185741 2114
7960.4960037 2114
7964.76373405 2114
7943.01937839 2114
7949.15043617 2114
7952.99200566 2114
7983.06297814 2114
7988.26938842 2114
7958.30717341 2114
7956.91132477 2114
7966.27548852 2114
7955.70320352 2114
7972.30091706 2114
7949.72961591 2114
7959.95083599 2114
7963.38866966 2114
7967.0789773 2114
7946.86610622 2114
7949.19720712 2114
7952.01478824 2114
7961.26637187 2114
7970.10007543 2114
7966.88476021 2114
7961.81923062 2114
7951.25929343 2114
93455.6108861 2114
7958.04207374 2114
7944.70365782 2114
7955.23233877 2114
7947.07075112 2114
7949.70964179 2114
7958.52817627 2114
7986.33058889 2114
7966.97719704 2114
7958.73638062 2114
7952.40182975 2114
7957.15200634 2114
7950.1437396 2114
7943.23720766 2114
7938.14301374 2114
7952.1233593 2114
7948.95473958 2114
7961.07833874 2114
7961.71277547 2114
7955.24590544 2114
7968.2449504 2114
7946.99716502 2114
7969.87761745 2114
7973.22159957 2114
7955.24074597 2114
7949.33038733 2114
7960.52215203 2114
7956.44097415 2114
7976.65355186 2114
7961.12234641 2114
7964.69934298 2114
7954.23411187 2114
7965.57129565 2114
7948.50468866 2114
7954.1994982 2114
7962.26286725 2114
3156780.28767 1274
4749836.16646 1539
1274978.00496 2114
7974.14117051 2114
8048.72446065 2114
7944.63624265 2114
7980.42597859 2114
7971.95133869 2114
7958.86315472 2114
7945.56153916 2114
7972.50732443 2114
7979.41066697 2114
7945.35301848 2114
7955.71690734 2114
7946.84413384 2114
7984.36606573 2114
7974.14901632 2114
7948.48586925 2114
7946.31819459 2114
7954.64468331 2114
7943.93344353 2114
7938.42522994 2114
7944.73732442 2114
7974.25919795 2114
7963.40948095 2114
7952.97715431 2114
7955.68269066 2114
7947.2683288 2114
7977.18996214 2114
7980.33228407 2114
8003.34575626 2114
7987.68961491 2114
8057.320793 2114
7979.69706847 2114
7950.82696318 2114
7955.44846423 2114
7943.16425764 2114
7967.06363198 2114
447698.677129 2114
7973.00795065 2114
7951.46836388 2114
7939.26741217 2114
7953.13896677 2114
7986.03376906 2114
7969.66993276 2114
7997.95340074 2114
7980.61265128 2114
8011.03679778 2114
8032.61147383 2114
7961.21692043 2114
239539.501892 2114
7957.02965889 2114
7960.89833793 2114
7951.35814164 2114
7949.74339675 2114
7972.52968726 2114
7954.75247557 2114
7947.03231579 2114
7941.595929 2114
7972.19919085 2114
7950.03714456 2114
7946.35938469 2114
7953.04330777 2114
8007.27487662 2114
7953.93127134 2114
7970.85902123 2114
7963.43216357 2114
7964.28616914 2114
7970.52367211 2114
7959.08544405 2114
7970.35176872 2114
7973.13169321 2114
7981.93487562 2114
7977.66171788 2114
7958.16174064 2114
7978.00194661 2114
8005.54286567 2114
7958.4080614 2114
7988.28956467 2114
7961.32689531 2114
7968.63987283 2114
7972.46237282 2114
7990.47245388 2114
10310363.5027 2114
7958.42347075 2114
7963.36092134 2114
7979.38769062 2114
7977.58936499 2114
7968.71787779 2114
7987.50435421 2114
7959.12723299 2114
32298836.9189 2114
7980.9115023 2114
7948.97977323 2114
7972.90517746 2114
7944.39130858 2114
7961.36654094 2114
7958.55829594 2114
7960.96284303 2114
7948.58713128 2114
3019165.03747 1539
4042162.13703 1539
7947.18467142 2114
8023.25097408 2114
7941.37782718 2114
7960.64615512 2114
7939.03101493 2114
7977.36245848 2114
7958.5976929 2114
7948.07328221 2114
8007.83351255 2114
7949.53452234 2114
7960.59865351 2114
7958.41172927 2114
7944.29621627 2114
