begin sampling
initial memory consumption:  128248
 0.2%   t: 133.465597868
memory:  143260
 0.4%   t: 256.153086901
memory:  143452
 0.6%   t: 378.470769882
memory:  143456
 0.8%   t: 500.869122028
memory:  143468
 1.0%   t: 623.227262974
memory:  143476
 1.2%   t: 745.543913841
memory:  143476
 1.4%   t: 868.077100992
memory:  143480
 1.6%   t: 990.467197895
memory:  143480
 1.8%   t: 1112.96405602
memory:  143480
 2.0%   t: 1235.4180069
memory:  143480
 2.2%   t: 1357.95970798
memory:  143480
 2.4%   t: 1480.47490001
memory:  143480
 2.6%   t: 1603.18213296
memory:  143480
 2.8%   t: 1725.83237886
memory:  143480
 3.0%   t: 1848.43391085
memory:  143480
 3.2%   t: 1970.98865199
memory:  143480
 3.4%   t: 2093.51814699
memory:  143480
 3.6%   t: 2216.05613899
memory:  143480
 3.8%   t: 2338.75807405
memory:  143480
 4.0%   t: 2461.37121797
memory:  143480
 4.2%   t: 2584.09429002
memory:  143480
 4.4%   t: 2706.72238302
memory:  143480
 4.6%   t: 2829.35175204
memory:  143480
 4.8%   t: 2952.01559305
memory:  143480
 5.0%   t: 3074.59917092
memory:  143480
 5.2%   t: 3197.26257801
memory:  143480
 5.4%   t: 3319.94811797
memory:  143484
 5.6%   t: 3442.61536002
memory:  143484
 5.8%   t: 3565.37297082
memory:  143484
 6.0%   t: 3688.07100892
memory:  143484
 6.2%   t: 3810.76090693
memory:  143484
 6.4%   t: 3933.53180194
memory:  143484
 6.6%   t: 4056.13156796
memory:  143484
 6.8%   t: 4178.82805705
memory:  143484
 7.0%   t: 4301.56974483
memory:  143484
 7.2%   t: 4424.21162105
memory:  143484
 7.4%   t: 4546.929703
memory:  143484
 7.6%   t: 4669.61371899
memory:  143484
 7.8%   t: 4792.36325383
memory:  143484
 8.0%   t: 4915.09110904
memory:  143484
 8.2%   t: 5037.84081793
memory:  143484
 8.4%   t: 5160.67312002
memory:  143484
 8.6%   t: 5283.46845603
memory:  143484
 8.8%   t: 5406.20362496
memory:  143484
 9.0%   t: 5529.00885105
memory:  143484
 9.2%   t: 5651.85748982
memory:  143484
 9.4%   t: 5774.66502595
memory:  143484
 9.6%   t: 5897.47618699
memory:  143484
 9.8%   t: 6020.31738091
memory:  143484
10.0%   t: 6143.07556105
memory:  143484
10.2%   t: 6265.89986086
memory:  143484
10.4%   t: 6388.76072001
memory:  143484
10.6%   t: 6511.55632997
memory:  143484
10.8%   t: 6634.38020897
memory:  143484
11.0%   t: 6757.29744196
memory:  143484
11.2%   t: 6880.10436797
memory:  143484
11.4%   t: 7002.953722
memory:  143484
11.6%   t: 7125.78228998
memory:  143484
11.8%   t: 7248.64280891
memory:  143484
12.0%   t: 7371.57013988
memory:  143484
12.2%   t: 7494.43582392
memory:  143484
12.4%   t: 7617.36769891
memory:  143484
12.6%   t: 7740.3511579
memory:  143484
12.8%   t: 7863.26713395
memory:  143484
13.0%   t: 7986.23838282
memory:  143484
13.2%   t: 8109.11231494
memory:  143484
13.4%   t: 8232.12992692
memory:  143484
13.6%   t: 8355.08960891
memory:  143484
13.8%   t: 8477.89908695
memory:  143484
14.0%   t: 8600.925668
memory:  143484
14.2%   t: 8723.93493795
memory:  143492
14.4%   t: 8846.94944882
memory:  143492
14.6%   t: 8969.84175491
memory:  143492
14.8%   t: 9092.85725784
memory:  143492
15.0%   t: 9215.74510384
memory:  143492
15.2%   t: 9338.6683569
memory:  143492
15.4%   t: 9461.508394
memory:  143492
15.6%   t: 9584.51742387
memory:  143492
15.8%   t: 9707.37457085
memory:  143496
16.0%   t: 9830.30804086
memory:  143496
16.2%   t: 9953.36643195
memory:  143496
16.4%   t: 10076.40961
memory:  143496
16.6%   t: 10199.36502
memory:  143496
16.8%   t: 10322.4114308
memory:  143496
17.0%   t: 10445.360229
memory:  143496
17.2%   t: 10568.3669519
memory:  143496
17.4%   t: 10691.3986969
memory:  143496
17.6%   t: 10814.4213989
memory:  143496
17.8%   t: 10937.4078798
memory:  143496
18.0%   t: 11060.4604008
memory:  143496
18.2%   t: 11183.2899959
memory:  143496
18.4%   t: 11306.3964159
memory:  143496
18.6%   t: 11429.444778
memory:  143496
18.8%   t: 11552.465565
memory:  143496
19.0%   t: 11675.6466899
memory:  143496
19.2%   t: 11798.709003
memory:  143496
19.4%   t: 11926.347755
memory:  143496
19.6%   t: 12049.971611
memory:  143496
19.8%   t: 12179.660181
memory:  143496
20.0%   t: 12304.3270869
memory:  143496
20.2%   t: 12428.9453208
memory:  143496
20.4%   t: 12557.2576709
memory:  143496
20.6%   t: 12687.2071609
memory:  143496
20.8%   t: 12816.1707568
memory:  143496
