zmin zmax zmed logL_min logL_max Phi up lo
0.1 0.5 0.28 42.75 43.00 1.81e-4 2.14e-4 1.08e-4
0.1 0.5 0.28 43.00 43.25 9.39e-5 8.13e-5 4.67e-5
0.1 0.5 0.28 43.25 43.50 5.69e-5 3.50e-5 2.27e-5
0.1 0.5 0.28 43.50 43.75 2.63e-5 1.46e-5 0.98e-5
0.1 0.5 0.28 43.75 44.00 8.48e-6 6.33e-6 3.85e-6
0.1 0.5 0.28 44.00 44.25 3.20e-6 2.95e-6 1.66e-6
0.1 0.5 0.28 44.25 44.50 1.81e-6 1.71e-6 0.95e-6
0.5 1.0 0.75 43.50 43.75 1.74e-4 3.09e-4 1.27e-4
0.5 1.0 0.75 43.75 44.00 5.92e-5 5.42e-5 3.05e-5
0.5 1.0 0.75 44.00 44.25 2.32e-5 1.50e-5 0.96e-5
0.5 1.0 0.75 44.25 44.50 1.53e-5 0.57e-5 0.42e-5
0.5 1.0 0.75 44.50 44.75 4.17e-6 1.98e-6 1.39e-6
0.5 1.0 0.75 44.75 45.00 3.74e-7 6.38e-7 2.68e-7
1.0 3.0 1.51 44.25 44.50 4.21e-5 4.73e-5 2.44e-5
1.0 3.0 1.51 44.50 44.75 1.61e-5 1.16e-5 0.71e-5
1.0 3.0 1.51 44.75 45.00 5.69e-6 3.09e-6 2.09e-6
1.0 3.0 1.51 45.00 45.25 2.00e-6 1.00e-6 0.69e-6
1.0 3.0 1.51 45.25 45.50 3.76e-7 3.19e-7 1.85e-7
1.0 3.0 1.51 45.50 45.75 1.56e-7 1.76e-7 0.91e-7
