  1 9
  0.015   0.20  41.01  41.41  -3.20   0.21  -0.25     5 
  0.015   0.20  41.41  42.31  -4.26   0.13  -0.15    12 
  0.015   0.20  42.31  42.71  -4.76   0.11  -0.12    19 
  0.015   0.20  42.71  43.21  -5.01   0.06  -0.06    58 
  0.015   0.20  43.21  43.51  -5.42   0.06  -0.07    49 
  0.015   0.20  43.51  43.91  -5.93   0.06  -0.07    62 
  0.015   0.20  43.91  44.31  -6.60   0.07  -0.07    41 
  0.015   0.20  44.31  44.81  -7.42   0.08  -0.10    27 
  0.015   0.20  44.81  45.51  -9.16   0.48  -0.80     1 
  2 8
  0.20   0.40  41.41  41.91  -3.67   0.48  -0.78     1 
  0.20   0.40  41.91  42.51  -4.48   0.34  -0.48     2 
  0.20   0.40  42.51  43.11  -4.45   0.12  -0.11    19 
  0.20   0.40  43.11  43.51  -4.96   0.10  -0.11    21 
  0.20   0.40  43.51  44.01  -5.52   0.07  -0.09    26 
  0.20   0.40  44.01  44.41  -6.45   0.12  -0.11    17 
  0.20   0.40  44.41  45.01  -7.39   0.10  -0.10    23 
  0.20   0.40  45.01  45.71  -9.26   0.24  -0.30     4 
  3 8
  0.40   0.80  41.91  42.51  -3.73   0.00   0.00     0 
  0.40   0.80  42.51  42.96  -4.45   0.21  -0.27     5 
  0.40   0.80  42.96  43.31  -4.48   0.12  -0.12    13 
  0.40   0.80  43.31  43.81  -4.96   0.09  -0.08    29 
  0.40   0.80  43.81  44.51  -5.99   0.09  -0.09    31 
  0.40   0.80  44.51  45.11  -7.24   0.12  -0.12    15 
  0.40   0.80  45.11  45.71  -8.78   0.21  -0.24     5 
  0.40   0.80  45.71  46.32 -10.48   0.50  -0.78     1 
  4 7
  0.80   1.60  42.81  43.31  -4.16   0.19  -0.22     6 
  0.80   1.60  43.31  43.81  -4.66   0.11  -0.11    19 
  0.80   1.60  43.81  44.31  -4.98   0.07  -0.07    44 
  0.80   1.60  44.31  45.01  -6.06   0.06  -0.06    51 
  0.80   1.60  45.01  45.71  -7.91   0.18  -0.21     7 
  0.80   1.60  45.71  46.21  -9.06   0.24  -0.27     4 
  0.80   1.60  46.21  46.71 -10.02   0.24  -0.29     4 
  5 6
  1.60   2.30  43.51  44.21  -4.81   0.15  -0.17     9 
  1.60   2.30  44.21  44.91  -5.52   0.10  -0.14    18 
  1.60   2.30  44.91  45.61  -6.85   0.12  -0.14    14 
  1.60   2.30  45.61  46.31  -8.68   0.34  -0.44     2 
  1.60   2.30  46.31  46.71  -9.10   0.00   0.00     0 
  1.60   2.30  46.71  47.34 -10.92   0.49  -0.74     1 
  6 5
  2.30   4.60  43.81  44.51  -4.90   0.18  -0.20     7 
  2.30   4.60  44.51  45.11  -5.95   0.17  -0.18     8 
  2.30   4.60  45.11  45.91  -7.28   0.17  -0.20     7 
  2.30   4.60  45.91  46.71  -9.24   0.49  -0.72     1 
  2.30   4.60  46.71  47.34 -10.08   0.35  -0.48     2 
