#---------------------------------------------------------------------------
#-- J/ApJ/746/169 Luminosity function of broad-line quasars (Shen+, 2012)
#--------------------------------------------------------------------------
#---Table: J/ApJ/746/169/table3.dat Binned DR7 luminosity function (LF)  (322 records)
#      zbin F4.2   ---   [0.4/4.75] Redshift of the bin
#     magz2 F6.2   mag   [-29.25/-22.65] Magnitude of the bin
#    logPhi F7.3   [-]   [-9.4/-5.6]?=-99.999 Log of comoving space
#                         density log{Phi} (in Mpc^-3^mag^-1^ units)
#   elogPhi F7.3   [-]   [-9.6/-6.2]?=-99.999 Log of {Phi} uncertainty
#                         log{sigma} (in Mpc^-3^mag^-1^ units)
#---------------------------
#z_min z_max z_mid  magz2  logPhi elogPhi
#---------------------------
0.30 0.50 0.40 -22.65  -5.669  -6.920
0.30 0.50 0.40 -22.95  -5.643  -7.078
0.30 0.50 0.40 -23.25  -5.858  -7.350
0.30 0.50 0.40 -23.55  -6.036  -7.508
0.30 0.50 0.40 -23.85  -6.257  -7.619
0.30 0.50 0.40 -24.15  -6.487  -7.734
0.30 0.50 0.40 -24.45  -6.724  -7.852
0.30 0.50 0.40 -24.75  -6.913  -7.947
0.30 0.50 0.40 -25.05  -7.084  -8.032
0.30 0.50 0.40 -25.35  -7.368  -8.175
0.30 0.50 0.40 -25.65  -7.620  -8.300
0.30 0.50 0.40 -25.95  -7.981  -8.481
0.30 0.50 0.40 -26.25  -8.203  -8.592
0.30 0.50 0.40 -26.55 -99.999 -99.999
0.30 0.50 0.40 -26.85  -8.573  -8.723
0.30 0.50 0.40 -27.15 -99.999 -99.999
0.30 0.50 0.40 -27.45 -99.999 -99.999
0.30 0.50 0.40 -27.75 -99.999 -99.999
0.30 0.50 0.40 -28.05 -99.999 -99.999
0.30 0.50 0.40 -28.35 -99.999 -99.999
0.30 0.50 0.40 -28.65 -99.999 -99.999
0.30 0.50 0.40 -28.95 -99.999 -99.999
0.30 0.50 0.40 -29.25 -99.999 -99.999
0.50 0.70 0.60 -22.65 -99.999 -99.999
0.50 0.70 0.60 -22.95 -99.999 -99.999
0.50 0.70 0.60 -23.25 -99.999 -99.999
0.50 0.70 0.60 -23.55  -5.844  -6.949
0.50 0.70 0.60 -23.85  -5.974  -7.386
0.50 0.70 0.60 -24.15  -6.116  -7.612
0.50 0.70 0.60 -24.45  -6.301  -7.766
0.50 0.70 0.60 -24.75  -6.485  -7.857
0.50 0.70 0.60 -25.05  -6.730  -7.981
0.50 0.70 0.60 -25.35  -6.897  -8.064
0.50 0.70 0.60 -25.65  -7.152  -8.192
0.50 0.70 0.60 -25.95  -7.425  -8.328
0.50 0.70 0.60 -26.25  -7.550  -8.391
0.50 0.70 0.60 -26.55  -7.909  -8.571
0.50 0.70 0.60 -26.85  -8.329  -8.781
0.50 0.70 0.60 -27.15  -8.630  -8.931
0.50 0.70 0.60 -27.45  -8.931  -9.082
0.50 0.70 0.60 -27.75 -99.999 -99.999
0.50 0.70 0.60 -28.05 -99.999 -99.999
0.50 0.70 0.60 -28.35 -99.999 -99.999
0.50 0.70 0.60 -28.65 -99.999 -99.999
0.50 0.70 0.60 -28.95 -99.999 -99.999
0.50 0.70 0.60 -29.25 -99.999 -99.999
0.70 0.90 0.80 -22.65 -99.999 -99.999
0.70 0.90 0.80 -22.95 -99.999 -99.999
0.70 0.90 0.80 -23.25 -99.999 -99.999
0.70 0.90 0.80 -23.55 -99.999 -99.999
0.70 0.90 0.80 -23.85 -99.999 -99.999
0.70 0.90 0.80 -24.15 -99.999 -99.999
0.70 0.90 0.80 -24.45  -6.094  -7.253
0.70 0.90 0.80 -24.75  -6.164  -7.655
0.70 0.90 0.80 -25.05  -6.391  -7.887
0.70 0.90 0.80 -25.35  -6.601  -7.993
0.70 0.90 0.80 -25.65  -6.728  -8.056
0.70 0.90 0.80 -25.95  -7.015  -8.200
0.70 0.90 0.80 -26.25  -7.175  -8.280
0.70 0.90 0.80 -26.55  -7.552  -8.468
0.70 0.90 0.80 -26.85  -7.741  -8.563
0.70 0.90 0.80 -27.15  -8.208  -8.796
0.70 0.90 0.80 -27.45  -8.481  -8.933
0.70 0.90 0.80 -27.75  -8.907  -9.146
0.70 0.90 0.80 -28.05  -9.083  -9.234
0.70 0.90 0.80 -28.35 -99.999 -99.999
0.70 0.90 0.80 -28.65 -99.999 -99.999
0.70 0.90 0.80 -28.95 -99.999 -99.999
0.70 0.90 0.80 -29.25 -99.999 -99.999
0.90 1.10 1.00 -22.65 -99.999 -99.999
0.90 1.10 1.00 -22.95 -99.999 -99.999
0.90 1.10 1.00 -23.25 -99.999 -99.999
0.90 1.10 1.00 -23.55 -99.999 -99.999
0.90 1.10 1.00 -23.85 -99.999 -99.999
0.90 1.10 1.00 -24.15 -99.999 -99.999
0.90 1.10 1.00 -24.45 -99.999 -99.999
0.90 1.10 1.00 -24.75  -5.912  -6.204
0.90 1.10 1.00 -25.05  -5.919  -7.081
0.90 1.10 1.00 -25.35  -6.260  -7.862
0.90 1.10 1.00 -25.65  -6.512  -7.996
0.90 1.10 1.00 -25.95  -6.684  -8.083
0.90 1.10 1.00 -26.25  -6.882  -8.182
0.90 1.10 1.00 -26.55  -7.193  -8.337
0.90 1.10 1.00 -26.85  -7.456  -8.468
0.90 1.10 1.00 -27.15  -7.696  -8.588
0.90 1.10 1.00 -27.45  -8.019  -8.750
0.90 1.10 1.00 -27.75  -8.277  -8.879
0.90 1.10 1.00 -28.05  -8.782  -9.132
0.90 1.10 1.00 -28.35  -8.782  -9.132
0.90 1.10 1.00 -28.65  -9.180  -9.330
0.90 1.10 1.00 -28.95 -99.999 -99.999
0.90 1.10 1.00 -29.25 -99.999 -99.999
1.10 1.30 1.20 -22.65 -99.999 -99.999
1.10 1.30 1.20 -22.95 -99.999 -99.999
1.10 1.30 1.20 -23.25 -99.999 -99.999
1.10 1.30 1.20 -23.55 -99.999 -99.999
1.10 1.30 1.20 -23.85 -99.999 -99.999
1.10 1.30 1.20 -24.15 -99.999 -99.999
1.10 1.30 1.20 -24.45 -99.999 -99.999
1.10 1.30 1.20 -24.75 -99.999 -99.999
1.10 1.30 1.20 -25.05 -99.999 -99.999
1.10 1.30 1.20 -25.35  -6.061  -7.402
1.10 1.30 1.20 -25.65  -6.217  -7.860
1.10 1.30 1.20 -25.95  -6.443  -7.994
1.10 1.30 1.20 -26.25  -6.654  -8.099
1.10 1.30 1.20 -26.55  -6.901  -8.223
1.10 1.30 1.20 -26.85  -7.147  -8.346
1.10 1.30 1.20 -27.15  -7.399  -8.472
1.10 1.30 1.20 -27.45  -7.892  -8.718
1.10 1.30 1.20 -27.75  -8.026  -8.785
1.10 1.30 1.20 -28.05  -8.223  -8.884
1.10 1.30 1.20 -28.35  -8.943  -9.244
1.10 1.30 1.20 -28.65  -9.068  -9.306
1.10 1.30 1.20 -28.95 -99.999 -99.999
1.10 1.30 1.20 -29.25  -9.244  -9.394
1.30 1.50 1.40 -22.65 -99.999 -99.999
1.30 1.50 1.40 -22.95 -99.999 -99.999
1.30 1.50 1.40 -23.25 -99.999 -99.999
1.30 1.50 1.40 -23.55 -99.999 -99.999
1.30 1.50 1.40 -23.85 -99.999 -99.999
1.30 1.50 1.40 -24.15 -99.999 -99.999
1.30 1.50 1.40 -24.45 -99.999 -99.999
1.30 1.50 1.40 -24.75 -99.999 -99.999
1.30 1.50 1.40 -25.05 -99.999 -99.999
1.30 1.50 1.40 -25.35 -99.999 -99.999
1.30 1.50 1.40 -25.65  -6.177  -7.489
1.30 1.50 1.40 -25.95  -6.229  -7.882
1.30 1.50 1.40 -26.25  -6.468  -8.028
1.30 1.50 1.40 -26.55  -6.672  -8.130
1.30 1.50 1.40 -26.85  -6.911  -8.249
1.30 1.50 1.40 -27.15  -7.164  -8.376
1.30 1.50 1.40 -27.45  -7.508  -8.548
1.30 1.50 1.40 -27.75  -7.724  -8.656
1.30 1.50 1.40 -28.05  -8.043  -8.815
1.30 1.50 1.40 -28.35  -8.508  -9.048
1.30 1.50 1.40 -28.65  -8.888  -9.238
1.30 1.50 1.40 -28.95  -9.286  -9.437
1.30 1.50 1.40 -29.25  -9.286  -9.437
1.50 1.70 1.60 -22.65 -99.999 -99.999
1.50 1.70 1.60 -22.95 -99.999 -99.999
1.50 1.70 1.60 -23.25 -99.999 -99.999
1.50 1.70 1.60 -23.55 -99.999 -99.999
1.50 1.70 1.60 -23.85 -99.999 -99.999
1.50 1.70 1.60 -24.15 -99.999 -99.999
1.50 1.70 1.60 -24.45 -99.999 -99.999
1.50 1.70 1.60 -24.75 -99.999 -99.999
1.50 1.70 1.60 -25.05 -99.999 -99.999
1.50 1.70 1.60 -25.35 -99.999 -99.999
1.50 1.70 1.60 -25.65 -99.999 -99.999
1.50 1.70 1.60 -25.95  -6.057  -7.454
1.50 1.70 1.60 -26.25  -6.249  -7.913
1.50 1.70 1.60 -26.55  -6.469  -8.042
1.50 1.70 1.60 -26.85  -6.703  -8.159
1.50 1.70 1.60 -27.15  -6.915  -8.265
1.50 1.70 1.60 -27.45  -7.209  -8.412
1.50 1.70 1.60 -27.75  -7.555  -8.585
1.50 1.70 1.60 -28.05  -7.868  -8.742
1.50 1.70 1.60 -28.35  -8.153  -8.885
1.50 1.70 1.60 -28.65  -8.616  -9.116
1.50 1.70 1.60 -28.95  -8.917  -9.266
1.50 1.70 1.60 -29.25  -9.315  -9.465
1.70 1.90 1.80 -22.65 -99.999 -99.999
1.70 1.90 1.80 -22.95 -99.999 -99.999
1.70 1.90 1.80 -23.25 -99.999 -99.999
1.70 1.90 1.80 -23.55 -99.999 -99.999
1.70 1.90 1.80 -23.85 -99.999 -99.999
1.70 1.90 1.80 -24.15 -99.999 -99.999
1.70 1.90 1.80 -24.45 -99.999 -99.999
1.70 1.90 1.80 -24.75 -99.999 -99.999
1.70 1.90 1.80 -25.05 -99.999 -99.999
1.70 1.90 1.80 -25.35 -99.999 -99.999
1.70 1.90 1.80 -25.65 -99.999 -99.999
1.70 1.90 1.80 -25.95 -99.999 -99.999
1.70 1.90 1.80 -26.25  -6.164  -7.525
1.70 1.90 1.80 -26.55  -6.303  -7.952
1.70 1.90 1.80 -26.85  -6.543  -8.089
1.70 1.90 1.80 -27.15  -6.747  -8.191
1.70 1.90 1.80 -27.45  -7.000  -8.317
1.70 1.90 1.80 -27.75  -7.304  -8.469
1.70 1.90 1.80 -28.05  -7.577  -8.606
1.70 1.90 1.80 -28.35  -7.927  -8.780
1.70 1.90 1.80 -28.65  -8.116  -8.875
1.70 1.90 1.80 -28.95  -8.488  -9.061
1.70 1.90 1.80 -29.25  -9.157  -9.396
1.90 2.40 2.15 -22.65 -99.999 -99.999
1.90 2.40 2.15 -22.95 -99.999 -99.999
1.90 2.40 2.15 -23.25 -99.999 -99.999
1.90 2.40 2.15 -23.55 -99.999 -99.999
1.90 2.40 2.15 -23.85 -99.999 -99.999
1.90 2.40 2.15 -24.15 -99.999 -99.999
1.90 2.40 2.15 -24.45 -99.999 -99.999
1.90 2.40 2.15 -24.75 -99.999 -99.999
1.90 2.40 2.15 -25.05 -99.999 -99.999
1.90 2.40 2.15 -25.35 -99.999 -99.999
1.90 2.40 2.15 -25.65 -99.999 -99.999
1.90 2.40 2.15 -25.95 -99.999 -99.999
1.90 2.40 2.15 -26.25 -99.999 -99.999
1.90 2.40 2.15 -26.55  -6.248  -7.525
1.90 2.40 2.15 -26.85  -6.406  -8.034
1.90 2.40 2.15 -27.15  -6.638  -8.301
1.90 2.40 2.15 -27.45  -6.885  -8.452
1.90 2.40 2.15 -27.75  -7.108  -8.565
1.90 2.40 2.15 -28.05  -7.402  -8.714
1.90 2.40 2.15 -28.35  -7.718  -8.873
1.90 2.40 2.15 -28.65  -8.008  -9.018
1.90 2.40 2.15 -28.95  -8.386  -9.208
1.90 2.40 2.15 -29.25  -8.779  -9.407
2.40 2.90 2.65 -22.65 -99.999 -99.999
2.40 2.90 2.65 -22.95 -99.999 -99.999
2.40 2.90 2.65 -23.25 -99.999 -99.999
2.40 2.90 2.65 -23.55 -99.999 -99.999
2.40 2.90 2.65 -23.85 -99.999 -99.999
2.40 2.90 2.65 -24.15 -99.999 -99.999
2.40 2.90 2.65 -24.45 -99.999 -99.999
2.40 2.90 2.65 -24.75 -99.999 -99.999
2.40 2.90 2.65 -25.05 -99.999 -99.999
2.40 2.90 2.65 -25.35 -99.999 -99.999
2.40 2.90 2.65 -25.65 -99.999 -99.999
2.40 2.90 2.65 -25.95 -99.999 -99.999
2.40 2.90 2.65 -26.25 -99.999 -99.999
2.40 2.90 2.65 -26.55 -99.999 -99.999
2.40 2.90 2.65 -26.85 -99.999 -99.999
2.40 2.90 2.65 -27.15  -6.680  -7.530
2.40 2.90 2.65 -27.45  -6.766  -8.117
2.40 2.90 2.65 -27.75  -7.043  -8.351
2.40 2.90 2.65 -28.05  -7.283  -8.482
2.40 2.90 2.65 -28.35  -7.554  -8.624
2.40 2.90 2.65 -28.65  -7.802  -8.753
2.40 2.90 2.65 -28.95  -8.059  -8.889
2.40 2.90 2.65 -29.25  -8.470  -9.106
2.90 3.50 3.20 -22.65 -99.999 -99.999
2.90 3.50 3.20 -22.95 -99.999 -99.999
2.90 3.50 3.20 -23.25 -99.999 -99.999
2.90 3.50 3.20 -23.55 -99.999 -99.999
2.90 3.50 3.20 -23.85 -99.999 -99.999
2.90 3.50 3.20 -24.15 -99.999 -99.999
2.90 3.50 3.20 -24.45 -99.999 -99.999
2.90 3.50 3.20 -24.75 -99.999 -99.999
2.90 3.50 3.20 -25.05 -99.999 -99.999
2.90 3.50 3.20 -25.35 -99.999 -99.999
