x y
0.00000 0.03268
0.00746 0.03586
0.01324 0.03917
0.01665 0.04038
0.02637 0.04766
0.02952 0.04837
0.03792 0.05586
0.04370 0.05948
0.04948 0.06338
0.05289 0.06435
0.06156 0.07194
0.06471 0.07220
0.07364 0.08015
0.07942 0.08359
0.08519 0.08713
0.08887 0.08818
0.09832 0.09518
0.10148 0.09518
0.11093 0.10222
0.11671 0.10494
0.12249 0.10772
0.12591 0.10906
0.13615 0.11412
0.13930 0.11480
0.14981 0.11921
0.15559 0.12105
0.16138 0.12286
0.16532 0.12405
0.17662 0.12709
0.18003 0.12728
0.19081 0.13020
0.19659 0.13132
0.20237 0.13234
0.20658 0.13297
0.21919 0.13478
0.23339 0.13572
0.23917 0.13664
0.24496 0.13667
0.24890 0.13674
0.26152 0.13779
0.27598 0.13779
0.28176 0.13779
0.28755 0.13779
0.29149 0.13772
0.30358 0.13779
0.31804 0.13776
0.32383 0.13779
0.32961 0.13779
0.33355 0.13779
0.34600 0.13809
0.36169 0.13792
0.36747 0.13794
0.37325 0.13845
0.37904 0.13835
0.38557 0.13975
0.38982 0.13901
0.39881 0.13801
0.40415 0.13947
0.41030 0.13930
0.41613 0.13888
0.41979 0.13905
0.42983 0.14070
0.43319 0.14087
0.44423 0.14143
0.45002 0.14210
0.45580 0.14227
0.46027 0.14283
0.47210 0.14378
0.47551 0.14438
0.48629 0.14508
0.49208 0.14548
0.49786 0.14620
0.50233 0.14620
0.51468 0.14760
0.51784 0.14704
0.52888 0.14898
0.53466 0.14956
0.54044 0.15007
0.54465 0.15029
0.55700 0.15180
0.57146 0.15323
0.57724 0.15364
0.58303 0.15453
0.58697 0.15461
0.59932 0.15634
0.61246 0.15873
0.61825 0.15945
0.62403 0.16042
0.62850 0.16119
0.64085 0.16386
0.65399 0.16747
0.65977 0.16908
0.66555 0.17097
0.68132 0.17701
0.69392 0.18281
0.69970 0.18536
0.70548 0.18832
0.70942 0.18999
0.71914 0.19609
0.72229 0.19693
0.73175 0.20381
0.73753 0.20725
0.74330 0.21082
0.74672 0.21165
0.75591 0.21882
0.75906 0.21908
0.76852 0.22621
0.77430 0.22896
0.78007 0.23199
0.78375 0.23290
0.79426 0.23814
0.80164 0.24088
