id x y
0 0.00000 0.41796
0 0.20043 0.41420
0 0.40087 0.42191
0 0.62297 0.41054
0 0.87757 0.39537
0 1.12676 0.35158
0 1.37595 0.34976
0 1.64680 0.36704
0 1.95016 0.40723
0 2.39978 0.42458
0 2.95233 0.43433
0 3.60238 0.44412
0 5.48754 0.42767
1 0.00000 0.52674
1 0.19502 0.50198
1 0.40087 0.50015
1 0.61755 0.47352
1 0.87216 0.44117
1 1.12134 0.39737
1 1.37053 0.39938
1 1.64680 0.41093
1 1.94475 0.45494
1 2.39437 0.46847
1 2.94150 0.49731
1 3.60780 0.49947
1 5.48754 0.49828
2 0.00000 0.31300
2 0.19502 0.31496
2 0.39545 0.33412
2 0.61755 0.28650
2 0.86674 0.24270
2 1.12134 0.17218
2 1.37053 0.15129
2 1.64680 0.14948
2 1.95016 0.18777
2 2.42145 0.20321
2 2.95775 0.23968
2 3.60238 0.28763
2 5.49296 0.30744
