z Phis Phisuperr Phislowerr Ms Msuperr Mslowerr alpha alphauperr alphalowerr
0.3 4.2e-3  0.1e-3  0.1e-3  -18.9  0.1 0.1 -1.29 0.05 0.05
1   1.6e-3  0.2e-3  0.1e-3  -19.9  0.1 0.1 -1.63 0.04 0.02
2   2.2e-3  0.2e-3  0.1e-3  -20.3  0.2 0.1 -1.60 0.04 0.06
3   1.72e-3 0.01e-3 0.01e-3 -20.9  0.3 0.1 -1.68 0.05 0.07
4   1.30e-3 0.01e-3 0.01e-3 -21.0  0.2 0.3 -1.73 0.07 0.05
5   1.4e-3  0.1e-3  0.1e-3  -20.6  0.2 0.3 -1.77 0.11 0.05
6   1.4e-3  0.1e-3  0.1e-3  -20.4  0.4 0.2 -1.76 0.14 0.12
7   0.9e-3  0.1e-3  0.1e-3  -20.2  0.2 0.2 -1.84 0.12 0.17
8   0.5e-3  0.1e-3  0.1e-3  -20.2  0.4 0.2 -1.92 0.11 0.15
10  0.2e-3  0.1e-3  0.1e-3  -19.74 0.3 0.5 -2.18 0.25 0.02
