m phi uperr lowerr
-23.11 0.000002 0.000002 0.000002 #Bouwens2015b
-22.61 0.000006 0.000003 0.000003 
-22.11 0.000034 0.000008 0.000008
-21.61 0.000101 0.000014 0.000014
-21.11 0.000265 0.000025 0.000025
-20.61 0.000676 0.000046 0.000046
-20.11 0.001029 0.000067 0.000067
-19.61 0.001329 0.000094 0.000094
-19.11 0.002085 0.000171 0.000171
-18.36 0.004460 0.000540 0.000540
-17.36 0.008600 0.001760 0.001760
-16.36 0.024400 0.007160 0.007160
-22.5 0.0082e-3 0.0050e-3 0.0035e-3  #Fin2015
-22.0 0.0082e-3 0.0051e-3 0.0036e-3 
-21.5 0.0758e-3 0.0137e-3 0.0125e-3 
-21.0 0.2564e-3 0.0255e-3 0.0240e-3 
-20.5 0.5181e-3 0.0365e-3 0.0338e-3 
-20.0 0.9315e-3 0.0477e-3 0.0482e-3 
-19.5 1.2086e-3 0.0488e-3 0.0666e-3 
-19.0 2.0874e-3 0.1212e-3 0.1147e-3 
-18.5 3.6886e-3 0.3864e-3 0.3725e-3 
-18.0 4.7361e-3 0.4823e-3 0.4413e-3 
-17.5 7.0842e-3 1.2829e-3 1.1364e-3
-22.6 0.002e-3 0.002e-3 0.002e-3  #van2010
-22.3 0.010e-3 0.002e-3 0.002e-3
-22.0 0.032e-3 0.010e-3 0.010e-3
-21.7 0.065e-3 0.015e-3 0.015e-3
-21.4 0.121e-3 0.016e-3 0.016e-3
-21.1 0.234e-3 0.028e-3 0.028e-3
-20.8 0.348e-3 0.025e-3 0.025e-3
-20.5 0.494e-3 0.050e-3 0.050e-3
-20.2 0.708e-3 0.030e-3 0.030e-3
-19.9 1.123e-3 0.211e-3 0.211e-3
-19.6 1.426e-3 0.229e-3 0.229e-3
-19.3 1.624e-3 0.095e-3 0.095e-3
-19.0 1.819e-3 0.630e-3 0.630e-3
