m phi uperr lowerr
-23.837 0.00055e-4 0.00156e-4 0.00055e-4
-23.637 0.00113e-4 0.00205e-4 0.00103e-4
-23.437 0.00325e-4 0.00380e-4 0.00197e-4
-23.237 0.00630e-4 0.00474e-4 0.00286e-4
-23.037 0.00885e-4 0.00490e-4 0.00333e-4
-22.837 0.02171e-4 0.00827e-4 0.00702e-4
-22.637 0.04771e-4 0.01277e-4 0.01343e-4
-22.437 0.10648e-4 0.02046e-4 0.02616e-4
-22.237 0.19365e-4 0.02885e-4 0.04072e-4
-22.037 0.37561e-4 0.04174e-4 0.06703e-4
-21.837 0.72645e-4 0.05566e-4 0.10819e-4
-21.637 1.30260e-4 0.05961e-4 0.15856e-4
-21.437 2.27743e-4 0.05760e-4 0.23933e-4
-21.237 3.71089e-4 0.07428e-4 0.40147e-4
-21.037 5.60696e-4 0.08491e-4 0.62452e-4
-20.837 7.96770e-4 0.10421e-4 0.91524e-4
-20.637 10.0584e-4 0.10550e-4 1.18857e-4
-20.437 12.7495e-4 0.25563e-4 0.24866e-4
-20.237 16.7298e-4 0.30374e-4 0.29621e-4
-20.037 23.6195e-4 0.41061e-4 0.40085e-4
-19.837 29.8296e-4 0.57881e-4 0.56363e-4
