m phi uperr lowerr
-22.5 0.000003 0.000001 0.000001
-22.0 0.000023 0.000004 0.000004
-21.5 0.000117 0.000008 0.000008
-21.0 0.000462 0.000016 0.000016
-20.5 0.001462 0.000107 0.000107
-20.0 0.002511 0.000140 0.000140
-19.5 0.003830 0.000173 0.000173
-19.0 0.004387 0.000185 0.000185
-18.5 0.007382 0.000838 0.000838
-18.0 0.008353 0.000892 0.000892
-17.5 0.012432 0.001088 0.001088
-17.0 0.012238 0.001079 0.001079
-16.5 0.012821 0.001105 0.001105
-16.0 0.015599 0.001216 0.001216
-15.5 0.014625 0.000971 0.000971
