m phi uperr lowerr
-22.77 0.0031e-3 0.0027e-3 0.0027e-3
-22.27 0.0250e-3 0.0070e-3 0.0070e-3
-21.77 0.0900e-3 0.0100e-3 0.0100e-3
-21.27 0.2700e-3 0.0300e-3 0.0300e-3
-20.77 0.6000e-3 0.0300e-3 0.0300e-3
-20.27 1.1600e-3 0.0300e-3 0.0300e-3
-22.77 0.003e-3 0.001e-3 0.001e-3
-22.27 0.030e-3 0.013e-3 0.013e-3
-21.77 0.085e-3 0.032e-3 0.032e-3
-21.27 0.240e-3 0.104e-3 0.104e-3
-20.77 0.686e-3 0.249e-3 0.249e-3
-20.27 1.530e-3 0.273e-3 0.273e-3
-19.77 2.934e-3 0.333e-3 0.333e-3
-19.27 4.296e-3 0.432e-3 0.432e-3
-18.77 5.536e-3 0.601e-3 0.601e-3
