m phi uperr lowerr
-23.20 0.001e-3 0.001e-3 0.001e-3
-22.90 0.001e-3 0.001e-3 0.001e-3
-22.60 0.007e-3 0.002e-3 0.002e-3
-22.30 0.022e-3 0.007e-3 0.007e-3
-22.00 0.057e-3 0.020e-3 0.020e-3
-21.70 0.113e-3 0.028e-3 0.028e-3
-21.40 0.254e-3 0.027e-3 0.027e-3
-21.10 0.497e-3 0.061e-3 0.061e-3
-20.80 0.788e-3 0.110e-3 0.110e-3
-20.50 1.188e-3 0.267e-3 0.267e-3
-20.20 1.745e-3 0.377e-3 0.377e-3
-19.90 2.240e-3 0.373e-3 0.373e-3
-19.60 2.799e-3 0.519e-3 0.519e-3
-19.30 3.734e-3 0.863e-3 0.863e-3
-19.00 4.720e-3 0.866e-3 0.866e-3
-18.70 3.252e-3 1.508e-3 1.508e-3
