m phi uperr lowerr
-18.22 6.659e-3  4.158e-3 1.495e-3
-18.72 3.447e-3  2.428e-3 0.873e-3
-19.22 3.636e-3  2.162e-3 0.778e-3
-19.72 2.364e-3  1.639e-3 0.589e-3 
-20.22 1.049e-3  1.079e-3 0.388e-3
-20.72 0.426e-3  0.693e-3 0.249e-3
-16.55 10.051e-3 4.560e-3 1.640e-3 
-17.05 11.191e-3 3.946e-3 1.419e-3
-17.55 8.255e-3  2.945e-3 1.059e-3
-18.05 6.873e-3  2.500e-3 0.899e-3
-18.55 4.958e-3  2.117e-3 0.761e-3
-19.05 4.173e-3  1.960e-3 0.705e-3 
-19.55 3.101e-3  1.682e-3 0.605e-3
-20.05 1.217e-3  1.058e-3 0.380e-3
-20.55 0.874e-3  0.899e-3 0.323e-3 
-21.05 0.175e-3  0.403e-3 0.145e-3
