Lmin Lmax z logPhi up lo
45.5 46.0 0.54459 -5.18584 -5.08555 -5.27434
45.5 46.0 0.54455 -5.22714 -5.09145 -5.35103
45.5 46.0 0.82949 -5.03835 -4.83776 -5.30973
45.5 46.0 0.87837 -4.96755 -4.85546 -5.12684
45.5 46.0 1.12242 -4.98525 -4.77286 -5.18584
45.5 46.0 1.11433 -4.94395 -4.71386 -5.17994
45.5 46.0 1.25265 -4.92625 -4.84956 -4.98820
45.5 46.0 2.40806 -4.76991 -4.58407 -4.95870
45.5 46.0 1.39095 -4.93215 -4.82596 -5.03245
45.5 46.0 1.39912 -4.89676 -4.75516 -5.02655
45.5 46.0 1.63508 -4.86726 -4.80236 -4.92035
45.5 46.0 1.67579 -4.84366 -4.74336 -4.93215
45.5 46.0 2.02562 -4.84366 -4.57227 -5.03245
45.5 46.0 2.70087 -4.84366 -4.69617 -5.05015
45.5 46.0 3.00585 -4.94985 -4.73156 -5.25664
45.5 46.0 3.16440 -5.03835 -4.90855 -5.17404
45.5 46.0 3.30261 -5.13274 -4.86726 -5.38053
45.5 46.0 3.75820 -5.13274 -5.04425 -5.22714
45.5 46.0 4.06721 -5.28024 -5.16224 -5.42183
45.5 46.0 4.50654 -5.26844 -4.66667 -5.86431
46.0 46.5 0.87369 -5.56932 -5.46903 -5.66667
46.0 46.5 0.87345 -5.80531 -5.61357 -5.99705
46.0 46.5 1.25218 -5.39233 -5.30973 -5.49853
46.0 46.5 1.25211 -5.45428 -5.34808 -5.56342
46.0 46.5 1.25612 -5.51032 -5.42773 -5.59292
46.0 46.5 1.39470 -5.24189 -5.08260 -5.40118
46.0 46.5 1.67553 -5.09735 -4.94100 -5.27139
46.0 46.5 1.67545 -5.17699 -5.07080 -5.28319
46.0 46.5 1.67529 -5.33038 -5.17109 -5.49263
46.0 46.5 1.63459 -5.35103 -5.26844 -5.42478
46.0 46.5 1.63472 -5.22124 -5.16224 -5.29204
46.0 46.5 1.96016 -5.20944 -4.91445 -5.51032
46.0 46.5 2.02527 -5.17994 -5.12684 -5.23304
46.0 46.5 1.96030 -5.07375 -4.94985 -5.21534
46.0 46.5 2.10263 -5.11504 -4.79646 -5.61062
46.0 46.5 2.10683 -4.97935 -4.88496 -5.48083
46.0 46.5 2.40765 -5.17994 -5.13274 -5.22419
46.0 46.5 2.40763 -5.19764 -5.15339 -5.25369
46.0 46.5 2.70460 -5.17994 -5.05015 -5.42478
46.0 46.5 2.81842 -5.25664 -5.12389 -5.37758
46.0 46.5 2.81840 -5.27729 -5.14454 -5.42183
46.0 46.5 2.81830 -5.36873 -5.24779 -5.49558
46.0 46.5 3.00556 -5.23009 -4.81416 -5.72861
46.0 46.5 3.00120 -5.51917 -5.12979 -6.21829
46.0 46.5 3.15594 -5.35988 -5.09145 -5.62537
46.0 46.5 3.26979 -5.40413 -5.33333 -5.47493
46.0 46.5 3.75783 -5.50442 -5.41003 -5.59292
46.0 46.5 3.75775 -5.58112 -5.45723 -5.78761
46.0 46.5 4.05052 -5.68437 -5.61652 -5.79351
46.0 46.5 4.05449 -5.78171 -5.69322 -5.88791
46.0 46.5 4.15622 -5.74926 -5.45133 -5.99410
46.0 46.5 4.15207 -5.83186 -5.66667 -6.05015
46.0 46.5 4.24929 -6.23009 -6.01475 -6.41298
46.0 46.5 4.26193 -5.80531 -5.71091 -5.90560
46.0 46.5 4.70086 -6.18879 -5.94395 -6.43068
46.0 46.5 4.74973 -6.12979 -5.49263 -6.57227
46.0 46.5 4.74982 -6.04720 -5.88791 -6.22419
46.0 46.5 6.00186 -6.87316 -6.42478 -7.32153
46.5 47.0 1.63371 -6.21829 -6.08850 -6.34808
46.5 47.0 1.63365 -6.27729 -6.16519 -6.38348
46.5 47.0 2.01626 -6.04720 -5.95870 -6.13569
46.5 47.0 2.01621 -6.08850 -6.00590 -6.15339
46.5 47.0 2.01609 -6.20944 -6.05900 -6.35988
46.5 47.0 2.40679 -6.02360 -5.95870 -6.08555
46.5 47.0 2.40664 -6.16519 -6.06195 -6.28024
46.5 47.0 2.81753 -6.12684 -5.79351 -6.47493
46.5 47.0 2.81749 -6.16814 -5.98820 -6.33628
46.5 47.0 2.81746 -6.19764 -6.05015 -6.36283
46.5 47.0 3.26898 -6.20649 -6.13274 -6.26844
46.5 47.0 3.26890 -6.28319 -6.15044 -6.38643
46.5 47.0 3.26875 -6.42478 -6.28909 -6.54867
46.5 47.0 3.75291 -6.33628 -6.27729 -6.39528
46.5 47.0 3.75278 -6.46903 -6.37758 -6.56637
46.5 47.0 3.75273 -6.51032 -6.46608 -6.61652
46.5 47.0 3.75258 -6.66667 -6.38938 -6.86726
46.5 47.0 4.04928 -6.91150 -6.74631 -7.10029
46.5 47.0 4.15117 -6.71091 -6.48673 -6.93510
46.5 47.0 4.24795 -7.54572 -7.25074 -7.82006
46.5 47.0 4.25287 -6.71386 -6.57227 -6.84956
46.5 47.0 4.25281 -6.76991 -6.63422 -6.87316
46.5 47.0 4.24870 -6.81416 -6.70501 -6.90855
46.5 47.0 4.69980 -7.23304 -6.93805 -7.52802
46.5 47.0 4.74871 -7.13864 -6.97935 -7.30973
46.5 47.0 4.74864 -7.20059 -7.05015 -7.35693
46.5 47.0 6.00053 -8.17404 -7.99705 -8.34808
46.5 47.0 6.00052 -8.18879 -8.02950 -8.30088
46.5 47.0 6.00038 -8.32153 -8.07375 -8.61357
