id logzplusone logPhi
3 0.00000 -8.66321
3 0.04337 -8.50984
3 0.07108 -8.37306
3 0.10602 -8.17409
3 0.12892 -8.03731
3 0.17831 -7.73057
3 0.20361 -7.56477
3 0.26386 -7.21658
3 0.30120 -7.03420
3 0.33735 -6.86839
3 0.38434 -6.68601
3 0.43133 -6.56166
3 0.46506 -6.50363
3 0.50482 -6.48290
3 0.53976 -6.50777
3 0.56265 -6.54508
3 0.60120 -6.64870
3 0.63614 -6.77306
3 0.67229 -6.93057
3 0.69759 -7.04249
3 0.72892 -7.19171
3 0.75904 -7.35337
3 0.78675 -7.50259
2 0.00000 -6.41658
2 0.02048 -6.34611
2 0.06145 -6.16373
2 0.07831 -6.06839
2 0.13133 -5.76580
2 0.14819 -5.67461
2 0.19639 -5.40104
2 0.23253 -5.21036
2 0.26627 -5.06114
2 0.28675 -4.98653
2 0.31446 -4.89534
2 0.36747 -4.77513
2 0.40000 -4.73782
2 0.43614 -4.72953
2 0.46747 -4.73782
2 0.49759 -4.77927
2 0.53012 -4.84560
2 0.55542 -4.90777
2 0.56988 -4.95337
2 0.60602 -5.08601
2 0.64096 -5.23523
2 0.66506 -5.35959
2 0.69759 -5.55026
2 0.73133 -5.79896
2 0.75542 -5.99793
2 0.76988 -6.12228
2 0.78735 -6.28394
1 0.00000 -4.92435
1 0.02651 -4.77927
1 0.06265 -4.59689
1 0.09759 -4.43109
1 0.14096 -4.25699
1 0.17470 -4.14922
1 0.20723 -4.06632
1 0.23855 -4.00829
1 0.26627 -3.97513
1 0.29639 -3.95026
1 0.33494 -3.95026
1 0.36988 -3.97513
1 0.40482 -4.03316
1 0.43735 -4.09948
1 0.47349 -4.18238
1 0.51325 -4.30674
1 0.54458 -4.42280
1 0.57349 -4.53886
1 0.61807 -4.72953
1 0.64337 -4.86218
1 0.66747 -4.97824
1 0.69759 -5.14404
1 0.72651 -5.31813
1 0.78735 -5.72850
