id zplusone logPhi up lo
3 1.31448 -8.44148 -8.27783 -8.62417
3 1.79793 -7.88963 -7.70314 -8.08754
3 2.33348 -6.90390 -6.74025 -7.07897
3 2.72689 -6.82778 -6.68316 -6.99144
3 3.28957 -6.84681 -6.67555 -7.03711
3 3.88719 -6.70599 -6.53473 -6.89629
3 5.14224 -7.30733 -7.07517 -7.56232
2 1.07246 -6.63368 -6.56898 -6.69838
2 1.19300 -6.43197 -6.32921 -6.53853
2 1.35264 -5.93720 -5.83444 -6.03616
2 1.50468 -5.78116 -5.67840 -5.88011
2 1.64740 -5.45005 -5.35490 -5.55281
2 1.76957 -5.39296 -5.30162 -5.48430
2 1.89779 -5.15699 -5.08088 -5.22931
2 2.03206 -5.07707 -5.00856 -5.14558
2 2.17929 -4.91342 -4.86394 -4.96670
2 2.34091 -4.94767 -4.89439 -5.00476
2 2.50654 -4.74596 -4.70409 -4.78782
2 2.69243 -4.87536 -4.82207 -4.92864
2 2.88292 -4.72693 -4.68126 -4.77260
2 3.09181 -4.70029 -4.65081 -4.74596
2 3.32110 -4.76118 -4.71170 -4.81446
2 3.55607 -4.76879 -4.71170 -4.82207
2 3.81373 -4.83730 -4.77640 -4.90200
2 4.09006 -5.02379 -4.93625 -5.10371
2 5.34224 -5.62892 -5.55661 -5.69743
1 1.05219 -5.04662 -5.00856 -5.08468
1 1.13022 -4.80304 -4.70790 -4.90961
1 1.21019 -4.64700 -4.56708 -4.73454
1 1.29994 -4.47574 -4.40343 -4.55186
1 1.39413 -4.52521 -4.45290 -4.60514
1 1.49514 -4.35775 -4.29686 -4.41484
1 1.60347 -4.25880 -4.20932 -4.30828
1 1.71692 -4.00000 -3.96575 -4.03806
1 1.84132 -3.99619 -3.95433 -4.03425
1 1.97473 -3.93530 -3.89724 -3.96955
1 2.12118 -4.04567 -4.00381 -4.08754
1 2.27126 -4.02284 -3.97716 -4.06851
1 2.43583 -4.04186 -4.00000 -4.09515
1 2.61231 -4.04186 -3.99239 -4.09134
1 2.80159 -4.17888 -4.11037 -4.24358
1 3.00458 -4.12940 -4.05709 -4.19791
1 3.22228 -4.18268 -4.10276 -4.27022
1 3.45575 -4.15604 -4.07231 -4.24358
1 3.70614 -4.20552 -4.09134 -4.31208
1 4.91836 -4.97812 -4.87155 -5.08468

