id z logPhi up lo
2 0.10192 -6.38432 -6.33309 -6.43555
2 0.30285 -6.02191 -5.96280 -6.08103
2 0.50670 -6.01419 -5.92355 -6.10483
2 0.91439 -5.19087 -5.12387 -5.26575
2 1.11241 -4.96639 -4.89152 -5.04127
2 1.31043 -4.79709 -4.72616 -4.86803
2 1.51136 -4.63173 -4.57656 -4.69085
2 1.82003 -4.86843 -4.81326 -4.92754
2 2.22190 -4.85298 -4.79781 -4.91210
2 2.72277 -4.99919 -4.94796 -5.05436
2 3.32557 -5.15336 -5.08242 -5.23612
2 3.90798 -5.56761 -5.42180 -5.71343
2 4.60396 -5.91102 -5.69033 -6.15929
1 0.10483 -4.89466 -4.84343 -4.94984
1 0.30577 -4.62684 -4.54802 -4.70172
1 0.50670 -4.29597 -4.23685 -4.35508
1 0.70763 -4.19760 -4.14243 -4.26066
1 0.91439 -4.11107 -4.06377 -4.16624
1 1.11241 -4.12699 -4.07575 -4.19004
1 1.31043 -4.13108 -4.07197 -4.19808
1 1.51136 -4.08395 -4.02484 -4.15094
1 1.82295 -4.39158 -4.33247 -4.45070
1 2.22190 -4.36037 -4.28944 -4.43131
1 2.72568 -4.47505 -4.40018 -4.54993
1 3.32557 -4.71198 -4.59770 -4.83021
1 3.90798 -5.03165 -4.83461 -5.23264
1 4.60396 -5.59575 -5.23713 -6.03713
