z gamma1 err1 gamma2 err2 phi_s err3 L_s err4
0.5 0.4604 0.1342  2.03  0.09281 -4.382 0.1542  11.87 0.1156
1   0.3635 0.06674 2.173 0.05079 -4.51  0.06371 12.44 0.0457
1.5 0.5207 0.06176 2.498 0.08186 -4.926 0.07591 13.01 0.04943
2   0.3657 0.05775 2.386 0.05572 -4.88  0.05483 13.1  0.03688
2.5 0.3582 0.06276 2.273 0.06779 -5.050 0.05964 13.17 0.04488
3   0.5881 0.07755 1.948 0.08443 -5.418 0.1289  13.21 0.1003
3.5 0.9223 0.1447  1.827 0.1866  -5.951 0.5747  13.36 0.4177
4   0.3359 0.2133  1.913 0.1286  -5.556 0.2142  12.91 0.1716
4.5 0.1447 0.7919  1.775 0.1487  -4.905 0.5181  12.28 0.3839
5   1.191  0.1191  3.068 0.7292  -7.879 0.4202  13.94 0.2133
6   1.239  0.09929 3.464 2.41    -9.013 0.3497  14.35 0.1925
