z gamma1 err1 gamma2 err2 phi_s err3 L_s err4
0.1 0.743328625206 0.0227889706263 1.51478308126 0.0393846240489 -4.327891364   0               11.2202024261 0.024604786131
0.2 0.733674119179 0.0221550275788 1.5952915509  0.0439732194158  -4.355007888  0               11.4193347261 0.0266483742664
0.3 0.584057112891 0.0172498425537 1.64630918667 0.042135820784 -4.382124412    0               11.6069584438 0.0249533787941
#0.4 1.90336709744 0.0425473220377 0.603200284554 0.0178424107101 -4.409240936  0               11.7475441316 0.0143267732622
0.5 0.572892294767 0.0156740158658 1.95143445218 0.0379832677091 -4.43635746    0               11.9008326964 0.0111210161133
0.6 0.561936940683 0.0241805075425 1.9571924899 0.0492645437368 -4.43075020374  0.0708205236671 11.9989277719 0.0549347508926
0.8 0.580400013767 0.0246711133969 2.02641745882 0.0553452114741 -4.62891443204 0.0694131002642 12.3177598885 0.0537465274889
1.0 0.512019046901 0.0237998439152 2.13604060982 0.053790330518 -4.55733275297  0.0534040148672 12.4618709146 0.0409477734943
1.2 0.472014014788 0.0252743649543 2.25020473235 0.0546619058241 -4.69879968132 0.0485788467602 12.6903435462 0.0358520077064
1.4 0.407841898322 0.0245946151317 2.31395385433 0.0564418971914 -4.66126412302 0.0418772329775 12.7994005474 0.0313605551117
1.6 0.421195428436 0.0254081766784 2.31004671999 0.0635459931766 -4.82632088774 0.0455939628773 12.9735075186 0.0343414905289
1.8 0.365284451172 0.0243167014514 2.27255591073 0.0570986134079 -4.77694417412 0.0399893348363 12.9890279741 0.0310334623407
2.0 0.402781433344 0.0230984400562 2.338814839 0.0588477702013 -4.91199693246   0.0409682784817 13.1036031861 0.0309253940607
2.2 0.306586998887 0.0386791073012 2.24662571308 0.0621254710645 -4.77813986315 0.0527991032808 13.0340524257 0.0395145808741
2.4 0.399801725557 0.0354275213137 2.22499538923 0.0677732926414 -4.96674358168 0.0541024809974 13.124201707  0.0421834021917
2.6 0.443888503969 0.0349116589752 2.09718407302 0.0606461631249 -5.00274570021 0.0587009404101 13.0900541822 0.0480976195955
2.8 0.457993293269 0.0471206968892 1.91200347846 0.0734481006034 -5.02850976112 0.0924945352438 13.0146434627 0.0788887923291
3.0 0.460365008512 0.0224035928064 1.82893319184 0.0365759753212 -5.11427056    0               12.9757565181 0.0122968284073
3.2 0.4153815015 0.0277527449179 1.79184436969 0.0354825400151 -5.168503608     0               12.9385351603 0.0125857361456
3.4 0.400461352264 0.0312075687302 1.72140028243 0.0385981156375 -5.222736656   0               12.8675497783 0.0162155133389
3.6 0.32200199577 0.0405398998199 1.87545359294 0.0494894010798 -5.276969704    0               12.9079664078 0.0197734063504
3.8 0.273285208551 0.0477502490108 1.82586646915 0.0508309318485 -5.331202752   0               12.8462965988 0.0222797568403
4.0 0.223115028232 0.0634283510329 1.83541261758 0.0570822337446 -5.3854358     0               12.7774316922 0.027119848272
4.2 0.173014829217 0.0829638784433 1.75767999643 0.0622741902871 -5.439668848   0               12.6949145869 0.0338656792397
4.4 0.383951545553 0.0973072661505 1.8534042508 0.0832589497677 -5.493901896    0               12.7137913972 0.0456329868741
4.6 0.36215736175 0.104949247355 1.85787706504 0.0914166732467 -5.548134944     0               12.6846244351 0.0504689769765
4.8 0.455273078901 0.140948804762 1.84536522759 0.0929963542198 -5.602367992    0               12.5994708097 0.0585625098801
5.0 0.41147630098 0.146214025834 1.82049302047 0.0890392838126 -5.65660104      0               12.5457694507 0.059175897268
5.2 0.903639138937 0.382339687404 1.89438959476 0.137736688936 -5.710834088     0               12.5444543178 0.0864997263522
5.4 1.23879659573 0.329407870016 1.67656790605 0.124963282946 -5.765067136      0               12.3673457844 0.077457571134
#5.6 1.15477169624 0.318823455225 1.76228650014 1.5499337289 -5.819300184        0               12.4492899432 0.087291940897
5.8 1.31986720884 0.0528934865096 1.31986720884 0.0528934864998 -5.873533232    0               12.1619131043 0.0576437696915
6.0 1.33157404932 0.0499753565216 1.33157404932 0.0499753566437 -5.92776628     0               12.1630569583 0.0536781009132
6.2 1.34475499841 0.0484651125132 1.34475499841 0.0484651126198 -5.981999328    0               12.1825469331 0.0509016989156
6.4 1.38093619551 0.0505323287976 1.38093619551 0.0505323288865 -6.036232376    0               12.2314819697 0.0475150012232
6.6 1.54475675886 0.0699154197124 1.54475675886 0.0699154195481 -6.090465424    0               12.3920901379 0.0622912653825
