z Lmin3 Lmin5
0.1 6.19785713047 6.45232696112
0.2 6.19785713047 6.45232696112
0.3 7.48869139567 7.88754329659
0.5 8.02206528863 8.56922029945
0.6 8.29373827921 8.56922029945
0.8 8.43098062902 8.56922029945
1.0 8.56922029945 9.13299503558
1.2 8.99035041117 9.42188670881
1.4 9.13299503558 9.42188670881
1.6 9.42188670881 9.71574435313
1.8 9.42188670881 9.71574435313
2.0 9.42188670881 9.71574435313
2.2 9.98084026178 10.3187182817
2.4 9.98084026178 10.3187182817
2.6 10.3187182817 10.466564034
2.8 10.3187182817 10.466564034
3.0 10.3955141022 10.550033919
3.2 10.466564034 10.5927847768
3.4 10.466564034 10.5927847768
3.6 10.941581785 11.0620362422
3.8 10.941581785 11.0620362422
4.0 10.941581785 11.0620362422
4.2 10.941581785 11.0620362422
4.4 10.941581785 11.0620362422
4.6 10.941581785 11.0620362422
4.8 10.941581785 11.2239326282
5.0 10.941581785 11.2599138747
5.2 11.5459543386 11.8292071854
5.4 11.5459543386 12.2380301314
5.8 11.5459543386 12.0375715058
6.0 11.5459543386 12.0375715058
6.2 11.5459543386 12.0375715058
6.4 11.5459543386 12.0375715058
6.6 12.2380301314 12.5703402889
