E CXB up lo
0.50653 9.31100 10.6498 8.03939
0.54844 4.56720 7.11742 2.02074
0.59382 7.98991 8.88535 7.13995
0.64296 7.55325 8.39976 6.79205
0.69924 8.29576 8.91382 7.72055
0.75710 8.99808 9.57827 8.50602
0.82338 8.99842 9.48927 8.53296
0.89151 9.69943 10.1648 9.25537
0.96528 10.3252 10.7532 9.85250
1.04516 10.78725 11.26955 10.32559
1.13665 11.30524 11.77386 10.82141
1.22528 11.73753 12.30069 11.27036
1.32667 13.17638 13.76550 12.53390
1.46205 13.34266 14.02659 12.77164
1.56911 13.85283 14.56291 13.25997
1.70646 13.89671 14.56349 13.26050
1.85585 14.29355 15.12047 13.76764
1.99174 15.50358 16.29821 14.84008
2.55064 19.78405 20.66860 18.93735
2.76170 20.15913 21.19247 19.29639
2.96392 18.35609 19.66215 17.24420
3.23765 20.16058 21.19399 19.05811
3.50556 21.73117 22.98828 20.54281
3.79563 21.86817 23.27821 20.41558
4.25751 24.78045 26.21395 23.42533
4.44977 28.43278 30.07756 26.71052
4.86072 25.25087 27.55930 22.84846
5.26293 27.56029 30.07985 25.09438
5.69842 20.54732 23.87175 17.14186
6.16995 32.42435 38.14427 26.54816
6.68049 28.97612 37.43709 20.29360
