E CXB up lo Elo Eup
5.49914 30.75817 33.24894 28.20886 4.02481 7.00639
8.55739 37.34613 40.54542 34.10274 7.06966 9.93298
10.95248 40.00935 43.43678 36.37696 10.11867 11.85508
15.82292 42.67051 51.84011 33.05820 11.96480 19.78779
22.85732 47.72659 50.26959 45.11664 22.12401 23.61494
24.62567 48.13649 50.92113 45.30741 23.83562 25.56069
26.78413 43.57269 46.29286 40.48302 25.68443 27.93092
29.53342 46.48774 48.54291 44.32712 28.05841 30.94172
32.72474 43.18570 46.28069 39.95053 31.09035 34.28522
36.76793 42.25501 44.50675 40.11770 34.93161 38.88177
41.69703 41.52311 44.69215 38.41273 39.24688 44.30013
47.50169 43.91748 46.45777 41.33662 44.50267 50.70244
52.64443 36.61595 38.73415 34.76365 45.35384 59.97890
54.89069 39.75044 43.90896 35.36822 50.94828 58.58976
64.01324 39.22979 44.85978 33.57210 59.41606 69.28864
70.95150 30.65263 33.13486 27.86990 60.55923 81.59377
97.00016 21.48961 25.21983 17.76494 82.40715 110.51431
132.53619 21.02097 27.13322 14.93592 112.07458 150.29947
183.58333 24.55258 38.17061 10.51631 155.24195 216.09465
