z eps
-0.00483 23.16832
0.12069 23.38571
0.29448 23.65218
0.50690 23.91516
0.67103 24.09400
0.82552 24.23777
0.98966 24.37453
1.18276 24.50780
1.31793 24.59197
1.51103 24.67265
1.73310 24.74983
1.98414 24.80248
2.32207 24.81658
2.56345 24.79210
2.83379 24.74660
3.00759 24.69406
3.20069 24.62399
3.42276 24.55043
3.63517 24.45583
3.83793 24.37174
4.04069 24.27012
4.28207 24.15450
4.51379 24.03887
4.71655 23.94076
4.98690 23.79709
5.25724 23.63940
5.53724 23.47471
5.77862 23.33454
6.02966 23.18736
6.30000 23.02266
6.53172 22.88600
6.76345 22.72830
6.98552 22.59864

