z eps
-0.00966 23.00005
0.17379 23.40676
0.27517 23.60661
0.40552 23.80646
0.55034 24.02385
0.70483 24.21670
0.82069 24.34995
1.01862 24.52879
1.13931 24.61997
1.27931 24.71466
1.50621 24.83040
1.65103 24.89354
1.95517 24.97775
2.16759 25.00760
2.40897 25.01994
2.58276 25.01121
2.78069 24.99198
3.03655 24.94297
3.22000 24.90445
3.43241 24.84491
3.63517 24.78185
3.78000 24.73281
3.94414 24.67326
4.11793 24.60669
4.36897 24.49107
4.54759 24.41048
4.79862 24.28784
4.93862 24.21426
5.11241 24.12315
5.34414 24.00051
5.51793 23.89539
5.65793 23.81128
5.78828 23.73770
5.96207 23.62556
6.13586 23.50991
6.32414 23.38376
6.57517 23.21204
6.78759 23.06836
7.00483 22.91416
