z gamma
0.00331 -1.74276
0.06280 -1.59624
0.11568 -1.49742
0.19500 -1.34408
0.34042 -1.11576
0.47262 -0.92833
0.69075 -0.67275
0.82956 -0.53643
0.94854 -0.44100
1.13362 -0.30466
1.33192 -0.19218
1.58971 -0.09331
1.90038 -0.03531
2.09207 -0.02504
2.29367 -0.03011
2.52833 -0.05560
2.82578 -0.11856
3.01086 -0.16792
3.22238 -0.23601
3.43390 -0.31603
3.66525 -0.41308
3.85364 -0.50332
4.06185 -0.60549
4.30642 -0.73319
4.47167 -0.82515
4.63692 -0.92221
4.82861 -1.03630
5.04013 -1.16913
5.25165 -1.30877
5.48961 -1.48418
5.63503 -1.62214
5.80028 -1.79075
5.98536 -1.99854
