id x y
0 0.00000 0.58755
0 0.05575 0.58168
0 0.40373 0.54212
0 0.62679 0.47619
0 0.87644 0.50110
0 1.14177 0.54066
0 1.40190 0.58022
0 1.65686 0.62418
0 1.95330 0.65201
0 2.16153 0.70330
0 2.40103 0.76630
0 2.95197 0.76777
0 3.60647 0.70769
0 5.50853 0.67253
1 0.00000 0.41172
1 0.04941 0.40586
1 0.20522 0.38681
1 0.40249 0.35165
1 0.62577 0.31795
1 0.87541 0.34286
1 1.12538 0.41905
1 1.38043 0.47619
1 1.65627 0.53333
1 1.95293 0.59487
1 2.40556 0.66374
1 2.95148 0.69158
1 3.60088 0.64762
1 5.50286 0.60073
2 0.00000 0.29158
2 0.05390 0.29597
2 0.20475 0.31502
2 0.40211 0.29304
2 0.62544 0.26813
2 0.88022 0.28278
2 1.12496 0.35458
2 1.39555 0.40293
2 1.65058 0.45714
2 1.94188 0.49377
2 1.96788 0.49670
2 2.40004 0.61392
2 2.95610 0.60220
2 3.60529 0.52601
2 5.50205 0.47619
