z_min   z_max    loglx       loglx_lo     loglx_hi           lf        lf_lo        lf_hi
0.0     0.2     41.3125      41.1250      41.5000  0.000450627  0.000208105  0.000346057
0.0     0.2     41.6875      41.5000      41.8750  0.000328493  0.000143418  0.000231229
0.0     0.2     42.0625      41.8750      42.2500  0.000124835  6.61287e-05  0.000119854
0.0     0.2     42.4375      42.2500      42.6250  1.96886e-05  1.58351e-05  4.39172e-05
0.0     0.2     42.8125      42.6250      43.0000  4.71535e-05  1.62740e-05  2.35470e-05
0.0     0.2     43.1875      43.0000      43.3750  3.06709e-05  7.57935e-06  9.82064e-06
0.0     0.2     43.5625      43.3750      43.7500  4.48607e-06  1.54967e-06  2.24303e-06
0.0     0.2     43.9375      43.7500      44.1250  1.78619e-06  7.06965e-07  1.08534e-06
0.0     0.2     44.3125      44.1250      44.5000  2.51269e-07  2.08184e-07  6.06617e-07
0.0     0.2     44.6875      44.5000      44.8750      0.00000      0.00000      0.00000
0.0     0.2     45.0625      44.8750      45.2500      0.00000      0.00000      0.00000
0.0     0.2     45.4375      45.2500      45.6250      0.00000      0.00000      0.00000
0.0     0.2     45.8125      45.6250      46.0000      0.00000      0.00000      0.00000
0.2     0.5     41.3125      41.1250      41.5000  0.000363106  0.000185437  0.000327929
0.2     0.5     41.6875      41.5000      41.8750  0.000283395  9.41723e-05  0.000134264
0.2     0.5     42.0625      41.8750      42.2500  0.000198504  5.19709e-05  6.84409e-05
0.2     0.5     42.4375      42.2500      42.6250  0.000182369  4.03432e-05  5.08115e-05
0.2     0.5     42.8125      42.6250      43.0000  6.26512e-05  2.11316e-05  3.03009e-05
0.2     0.5     43.1875      43.0000      43.3750  4.15815e-05  1.64904e-05  2.53398e-05
0.2     0.5     43.5625      43.3750      43.7500  2.57654e-05  8.42917e-06  1.19471e-05
0.2     0.5     43.9375      43.7500      44.1250  7.06316e-06  1.93121e-06  2.57624e-06
0.2     0.5     44.3125      44.1250      44.5000  1.89467e-06  4.19752e-07  5.28857e-07
0.2     0.5     44.6875      44.5000      44.8750  1.46782e-07  6.32455e-08  1.01264e-07
0.2     0.5     45.0625      44.8750      45.2500  7.40153e-08  4.01573e-08  7.40153e-08
0.2     0.5     45.4375      45.2500      45.6250      0.00000      0.00000      0.00000
0.2     0.5     45.8125      45.6250      46.0000      0.00000      0.00000      0.00000
0.5     0.8     41.3125      41.1250      41.5000   0.00170302   0.00135190   0.00367409
0.5     0.8     41.6875      41.5000      41.8750   0.00110826  0.000374697  0.000537780
0.5     0.8     42.0625      41.8750      42.2500  0.000360840  9.59592e-05  0.000126948
0.5     0.8     42.4375      42.2500      42.6250  0.000248319  4.70583e-05  5.72705e-05
0.5     0.8     42.8125      42.6250      43.0000  0.000166357  2.70288e-05  3.19575e-05
0.5     0.8     43.1875      43.0000      43.3750  9.83595e-05  1.84131e-05  2.23535e-05
0.5     0.8     43.5625      43.3750      43.7500  4.37590e-05  1.15579e-05  1.52598e-05
0.5     0.8     43.9375      43.7500      44.1250  6.70038e-06  4.15672e-06  8.52153e-06
0.5     0.8     44.3125      44.1250      44.5000  6.13202e-06  2.64217e-06  4.23047e-06
0.5     0.8     44.6875      44.5000      44.8750  1.21122e-06  3.59088e-07  4.91548e-07
0.5     0.8     45.0625      44.8750      45.2500  8.06785e-08  3.85046e-08  6.52703e-08
0.5     0.8     45.4375      45.2500      45.6250      0.00000      0.00000      0.00000
0.5     0.8     45.8125      45.6250      46.0000      0.00000      0.00000      0.00000
