z_min z_max loglx_lo loglx_hi  LFsoft  LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.01 0.20 38.25 38.50   4.429E-02   9.608E-03   1.367E-01    1.19   2.984E-02  -9.700E-01   1.433E+00    0.04
 0.01 0.20 38.50 38.75   2.830E-02   9.790E-03   6.813E-02    1.92   1.857E-02  -3.483E-02   4.145E-01    0.10
 0.01 0.20 38.75 39.00   2.191E-02   1.092E-02   4.113E-02    3.58   1.639E-02  -5.610E-04   1.924E-01    0.19
 0.01 0.20 39.00 39.25   1.756E-02   1.052E-02   2.844E-02    5.83   9.114E-03   4.532E-06   6.892E-02    0.33
 0.01 0.20 39.25 39.50   1.225E-02   8.538E-03   1.736E-02   10.52   7.581E-03   3.885E-04   3.703E-02    0.58
 0.01 0.20 39.50 39.75   1.088E-02   8.146E-03   1.444E-02   15.45   8.664E-03   2.473E-03   2.330E-02    1.53
 0.01 0.20 39.75 40.00   6.732E-03   5.283E-03   8.544E-03   21.22   3.866E-03   1.334E-03   9.322E-03    1.92
 0.01 0.20 40.00 40.25   3.672E-03   2.875E-03   4.671E-03   20.85   3.827E-03   2.035E-03   6.830E-03    4.17
 0.01 0.20 40.25 40.50   2.343E-03   1.849E-03   2.958E-03   22.11   2.578E-03   1.414E-03   4.488E-03    4.52
 0.01 0.20 40.50 40.75   1.281E-03   1.006E-03   1.625E-03   21.31   9.684E-04   5.024E-04   1.762E-03    3.93
 0.01 0.20 40.75 41.00   8.394E-04   6.438E-04   1.089E-03   18.05   6.468E-04   3.655E-04   1.099E-03    4.90
 0.01 0.20 41.00 41.25   4.254E-04   3.092E-04   5.805E-04   13.01   5.046E-04   3.216E-04   7.748E-04    7.22
 0.01 0.20 41.25 41.50   1.918E-04   1.180E-04   3.035E-04    6.38   3.909E-04   2.554E-04   5.875E-04    7.93
 0.01 0.20 41.50 41.75   1.087E-04   5.888E-05   1.913E-04    4.37   3.264E-04   2.142E-04   4.885E-04    8.08
 0.01 0.20 41.75 42.00   7.359E-05   3.984E-05   1.295E-04    4.37   1.122E-04   6.216E-05   1.937E-04    4.64
 0.01 0.20 42.00 42.25   4.209E-05   2.270E-05   7.428E-05    4.32   9.891E-05   5.481E-05   1.708E-04    4.64
 0.01 0.20 42.25 42.50   3.378E-05   1.987E-05   5.556E-05    5.51   3.644E-05   1.616E-05   7.452E-05    2.83
 0.01 0.20 42.50 42.75   3.102E-05   2.150E-05   4.420E-05   10.24   6.173E-05   4.015E-05   9.314E-05    7.80
