# Binned XLF estimates based on combining the hard-band or soft-band samples and correcting for absorption (Aird+15 Fig. 8)
# XLF estimates include Compton-thick sources.
# For the soft band, only bins with Nsoft>=1 should be plotted.
# For the hard band, only bins with Nhard>=1 should be plotted.
# LFsoft_lo, LFsoft_hi, LFhard_lo, LFhard_hi are 1sigma upper and lower limits, *not* error bars.
# zlo zhi   lblo  lbhi   LFsoft      LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.01 0.20 38.50 38.75   2.378E-02   5.502E-03   7.118E-02    1.25   2.175E-02  -4.853E-02   5.053E-01    0.09
 0.01 0.20 38.75 39.00   2.013E-02   8.418E-03   4.287E-02    2.55   1.644E-02  -1.435E-03   2.143E-01    0.17
 0.01 0.20 39.00 39.25   1.649E-02   8.642E-03   2.976E-02    4.03   8.688E-03  -2.479E-04   1.002E-01    0.20
 0.01 0.20 39.25 39.50   1.366E-02   8.816E-03   2.074E-02    7.58   5.621E-03   1.408E-05   3.945E-02    0.36
 0.01 0.20 39.50 39.75   1.112E-02   7.900E-03   1.550E-02   11.53   6.861E-03   1.127E-03   2.383E-02    0.97
 0.01 0.20 39.75 40.00   7.921E-03   5.947E-03   1.048E-02   15.73   4.807E-03   1.419E-03   1.269E-02    1.59
 0.01 0.20 40.00 40.25   4.423E-03   3.296E-03   5.895E-03   15.04   4.257E-03   1.974E-03   8.430E-03    3.08
 0.01 0.20 40.25 40.50   2.756E-03   2.043E-03   3.692E-03   14.56   2.770E-03   1.360E-03   5.258E-03    3.46
 0.01 0.20 40.50 40.75   1.721E-03   1.259E-03   2.334E-03   13.49   1.157E-03   5.237E-04   2.333E-03    2.94
 0.01 0.20 40.75 41.00   1.171E-03   8.350E-04   1.626E-03   11.77   7.057E-04   3.331E-04   1.380E-03    3.19
 0.01 0.20 41.00 41.25   7.469E-04   5.058E-04   1.087E-03    9.22   6.159E-04   3.359E-04   1.077E-03    4.45
 0.01 0.20 41.25 41.50   4.715E-04   2.897E-04   7.473E-04    6.34   4.451E-04   2.547E-04   7.486E-04    5.08
 0.01 0.20 41.50 41.75   3.308E-04   1.933E-04   5.470E-04    5.41   3.341E-04   1.969E-04   5.486E-04    5.54
 0.01 0.20 41.75 42.00   2.295E-04   1.354E-04   3.765E-04    5.56   2.276E-04   1.326E-04   3.772E-04    5.36
 0.01 0.20 42.00 42.25   1.835E-04   1.105E-04   2.959E-04    5.93   1.820E-04   1.063E-04   3.011E-04    5.39
 0.01 0.20 42.25 42.50   1.291E-04   8.062E-05   2.018E-04    6.70   9.331E-05   5.038E-05   1.645E-04    4.34
 0.01 0.20 42.50 42.75   1.030E-04   7.069E-05   1.482E-04    9.77   8.712E-05   5.410E-05   1.368E-04    6.58
 0.01 0.20 42.75 43.00   6.882E-05   4.868E-05   9.627E-05   11.30   8.375E-05   5.814E-05   1.192E-04   10.32
 0.01 0.20 43.00 43.25   4.239E-05   3.254E-05   5.496E-05   18.13   7.634E-05   5.798E-05   9.996E-05   16.91
 0.01 0.20 43.25 43.50   2.496E-05   1.999E-05   3.108E-05   24.81   2.964E-05   2.160E-05   4.033E-05   13.22
 0.01 0.20 43.50 43.75   9.747E-06   7.969E-06   1.189E-05   29.68   9.411E-06   6.126E-06   1.419E-05    7.83
