z_min z_max  lx lf lxerr_lo lxerr_hi lf_err_lo lf_err_hi
3.00 3.19 2.66e+43 5.01e-06 1.95e+43 7.34e+43 1.92e-06 2.59e-06
3.00 3.19 1.78e+44 6.14e-06 7.78e+43 1.38e+44 1.34e-06 1.56e-06
3.00 3.19 5.62e+44 1.50e-06 2.46e+44 4.38e+44 5.33e-07 6.99e-07
3.00 3.19 1.41e+45 1.81e-07 4.13e+44 5.83e+44 3.94e-08 4.61e-08
3.00 3.19 3.98e+45 1.22e-08 1.99e+45 3.96e+45 4.69e-09 6.32e-09
3.19 3.47 2.66e+43 3.43e-06 1.95e+43 7.34e+43 1.44e-06 2.01e-06
3.19 3.47 1.78e+44 4.50e-06 7.78e+43 1.38e+44 1.00e-06 1.18e-06
3.19 3.47 5.62e+44 1.23e-06 2.46e+44 4.38e+44 4.07e-07 5.23e-07
3.19 3.47 1.41e+45 2.18e-07 4.13e+44 5.83e+44 3.86e-08 4.38e-08
3.19 3.47 3.98e+45 8.76e-09 1.99e+45 3.96e+45 3.36e-09 4.52e-09
3.47 3.90 2.66e+43 3.17e-06 1.95e+43 7.34e+43 1.33e-06 1.86e-06
3.47 3.90 1.78e+44 3.23e-06 7.78e+43 1.38e+44 7.64e-07 9.08e-07
3.47 3.90 5.62e+44 1.33e-06 2.46e+44 4.38e+44 3.61e-07 4.41e-07
3.47 3.90 1.41e+45 1.13e-07 4.13e+44 5.83e+44 2.52e-08 2.97e-08
3.47 3.90 3.98e+45 7.48e-09 1.99e+45 3.96e+45 2.65e-09 3.48e-09
3.90 4.30 2.66e+43 1.30e-06 1.95e+43 7.34e+43 9.10e-07 1.77e-06
3.90 4.30 1.78e+44 1.54e-06 7.78e+43 1.38e+44 5.91e-07 7.96e-07
3.90 4.30 5.62e+44 7.05e-07 2.46e+44 4.38e+44 2.70e-07 3.64e-07
3.90 4.30 1.41e+45 5.18e-08 4.13e+44 5.83e+44 1.98e-08 2.67e-08
3.90 4.30 3.98e+45 9.21e-09 1.99e+45 3.96e+45 3.27e-09 4.29e-09
4.30 5.10 1.78e+44 4.71e-07 7.78e+43 1.38e+44 2.59e-07 4.16e-07
4.30 5.10 5.62e+44 2.49e-07 2.46e+44 4.38e+44 1.18e-07 1.73e-07
4.30 5.10 1.41e+45 5.04e-08 4.13e+44 5.83e+44 1.79e-08 2.35e-08
4.30 5.10 3.98e+45 5.55e-09 1.99e+45 3.96e+45 1.97e-09 2.59e-09
