z_min z_max  lx lf lxerr_lo lxerr_hi lf_err_lo lf_err_hi
3.0 4.0 2.66e+43 3.57e-06 1.95e+43 7.34e+43 9.00e-07 1.08e-06
3.0 4.0 1.78e+44 4.16e-06 7.78e+43 1.38e+44 5.56e-07 6.10e-07
3.0 4.0 5.62e+44 1.26e-06 2.46e+44 4.38e+44 2.36e-07 2.69e-07
3.0 4.0 1.41e+45 1.57e-07 4.13e+44 5.83e+44 1.87e-08 2.03e-08
3.0 4.0 2.82e+45 1.31e-08 8.23e+44 1.16e+45 3.57e-09 4.36e-09
3.0 4.0 5.62e+45 4.49e-09 1.64e+45 2.32e+45 1.72e-09 2.32e-09
4.0 5.1 2.66e+43 6.96e-07 1.95e+43 7.34e+43 4.86e-07 9.44e-07
4.0 5.1 1.78e+44 9.10e-07 7.78e+43 1.38e+44 3.23e-07 4.24e-07
4.0 5.1 5.62e+44 4.05e-07 2.46e+44 4.38e+44 1.34e-07 1.73e-07
4.0 5.1 1.41e+45 4.78e-08 4.13e+44 5.83e+44 1.42e-08 1.77e-08
4.0 5.1 2.82e+45 1.53e-08 8.23e+44 1.16e+45 4.56e-09 5.70e-09
4.0 5.1 5.62e+45 3.08e-09 1.64e+45 2.32e+45 1.45e-09 2.13e-09
